id;id_parent;nom
1;0;EPICERIE
2;0;PRODUITS FRAIS
3;0;PRODUITS SURGELES
4;0;LIQUIDES
5;0;PRODUITS A LA COUPE
6;0;PARFUMERIE
7;0;ENTRETIEN
8;0;ARTICLES BAZAR
9;0;HABILLEMENT
10;1;BISCOTTES ET ASSIMILES
11;1;BISCUITERIE
12;1;BISCUITS APERITIFS
13;1;BOUILLONS - AIDE CULINAIRE & ARÔMATES
14;1;CAFES
15;1;CEREALES
16;1;CHOCOLAT
17;1;CONDIMENTS
18;1;CONFISERIE
19;1;CONSERVES DE LÉGUMES
20;1;CONSERVES DE POISSONS
21;1;CONSERVES DE VIANDES
22;1;CUISINE DU MONDE
23;1;DESSERTS
24;1;FECULENTS
25;1;HUILES & VINAIGRES
26;1;LAIT
27;1;LES CONFITURES - MIELS & PATES A TARTINER
28;1;PAIN LONGUE CONSERVATION
29;1;PATISSERIE INDUSTRIELLE
30;1;PETITS DEJEUNERS
31;1;PLATS CUISINÉS
32;1;POTAGES
33;1;PRODUITS ANIMAUX
34;1;PRODUITS DIÉTÉTIQUES & REPAS
35;1;SAUCES
36;1;SUCRES & FARINES
37;1;THES ET INFUSIONS
38;1;UNIVERS BEBE
39;1;VIENNOISERIE
40;2;4EME GAMME
41;2;BARQUETTE FRUITS ET LÉGUMES LES EXPRESS
42;2;BEURRE
43;2;BOUCHERIE LIBRE SERVICE
44;2;CHARCUTERIE LIBRE SERVICE
45;2;CHARCUTERIE VOLAILLE
46;2;COMPOTE FRUIT
47;2;CREME FRAICHE
48;2;CREME FRAICHE LONGUE CONSERVATION
49;2;CUISINE VEGETALE
50;2;DECOUPE DE POULET LS
51;2;DESSERT
52;2;DESSERT ENFANT
53;2;DESSERT PATISSIER
54;2;ESPACE SNACKING
55;2;FROMAGE A CUISINER
56;2;FROMAGE A GRIGNOTER
57;2;FROMAGE CHEVRE ET BREBIS
58;2;FROMAGE FRAIS
59;2;FROMAGE FRAIS EMBALLE
60;2;FROMAGE HOLLANDAIS
61;2;FROMAGE ITALIEN
62;2;FROMAGE PATE FONDUE
63;2;FROMAGE PATE FRAICHE AROMATISEE
64;2;FROMAGE PATE FRAICHE NATURE
65;2;FROMAGE PATE MOLLE CROUTE FLEURIE
66;2;FROMAGE PATE MOLLE CROUTE LAVEE
67;2;FROMAGE PATE PERSILLEE
68;2;FROMAGE PATE PRESSEE CUITE
69;2;FROMAGE PATE PRESSEE NON CUITE
70;2;FRUITS ET LEGUMES
71;2;GAMME VIANDES ETE
72;2;GATEAUX L.SERVICE
73;2;HERBES AROMATIQUES FRAICHES
74;2;JUS FRUIT
75;2;JUS FRUITS BIO
76;2;LAIT FERMENTE
77;2;LAIT FRAIS BIO
78;2;LAIT PASTEURISE
79;2;LEGUMES LONGUE CONSERVATION
80;2;MARGARINE
81;2;MAYONNAISE-SAUCE FRAICHE
82;2;OEUFS
83;2;OLIVES AROMATISEES
84;2;PANIFICATION
85;2;PATES A GATEAU / A CAKE
86;2;PATES A TARTE - VIENNOISERIE A CUIRE
87;2;PATES FRAICHES GARNIES ET GNOCCHI
88;2;PATES FRAICHES SIMPLES
89;2;PATISSERIE FRAICHE
90;2;PETIT SUISSE
91;2;POISSON FRAIS
92;2;POTAGES
93;2;SAURISSERIE
94;2;TRAITEUR CUISINE DU MONDE
95;2;TRAITEUR LIBRE SERVICE
96;2;ULTRA FRAIS BIO
97;2;VOLAILLE COUPE
98;2;VOLAILLE-LAPIN LIB.SERVICE
99;2;YAOURT A BOIRE
100;2;YAOURT AROMATISE
101;2;YAOURT AU LAIT DE CHEVRE ET BREBIS
102;2;YAOURT AUX FRUITS
103;2;YAOURT LONGUE CONSERVATION
104;2;YAOURT NATURE
105;3;APERITIF
106;3;CRUSTACES
107;3;DESSERTS GLACES
108;3;DESSERTS PATISSIERS
109;3;ENTREES
110;3;ENTREES CUISINEES
111;3;FRITES-GARNITURES&PUREES
112;3;FRUITS
113;3;GLACE DETENTE-SPECIALITE
