reference;Unite par carton;prix_unite;prix_final;weight;volume;NB carton/palette;DLV Theorique;DLV Garantie
281;15;1.2399;18.5985;5.42;0.040356;24;180;90
307;15;1.4441;21.6615;4.61;0.040356;24;180;90
1388;15;1.2778;19.167;5.35;0.0432;24;270;120
13367;8;2.3694;18.9552;2.55;0.056758;16;270;120
13425;15;0.9515;14.2725;5.42;0.040356;24;270;120
406;16;1.2525;20.04;5.25;0.046592;18;180;90
3004;18;1.062;19.116;6.77;0.05148;35;180;120
2709;18;0.6599;11.8782;6.65;0.055224;35;240;120
2923;18;0.8241;14.8338;6.8;0.05148;35;180;120
2741;10;1.3589;13.589;9.13;0.058695;30;240;120
3046;12;0.9147;10.9764;4.56;0.03648;40;210;120
3525;12;0.9147;10.9764;4;0.035568;40;235;90
240;15;1.0989;16.4835;5.42;0.0207;24;180;120
3947;6;1.1504;6.9024;4.06;0.03726;126;330;120
2725;18;0.6705;12.069;6.65;0.04807;35;240;120
18143;6;2.4494;14.6964;1.1;0.00322;52;240;120
422;12;1.5199;18.2388;6;0.03952;24;180;90
1420;16;1.3441;21.5056;6.2;0.06696;12;270;120
489;12;1.6304;19.5648;5.2;0.04056;24;180;90
1149;8;1.6494;13.1952;5.26;0.03432;30;270;120
4606;9;1.1883;10.6947;3.23;0.032775;42;270;120
2808;15;1.1389;17.0835;4.2;0.02916;52;210;120
2824;15;1.1389;17.0835;4.2;0.02916;52;210;120
2840;15;1.1389;17.0835;4.2;0.02916;52;210;120
2667;16;0.5441;8.7056;4.44;0.03996;40;240;120
2683;16;0.5441;8.7056;4.44;0.04212;40;240;120
2766;8;1.441;11.528;5;0.03276;30;180;120
3103;16;0.8557;13.6912;4.3;0.08208;40;180;120
4549;8;1.0704;8.5632;3.07;0.024662;56;270;180
4564;8;1.2252;9.8016;3.07;0.024662;56;270;180
3806;12;1.1125;13.35;3.74;0.02691;64;270;120
3822;12;1.1125;13.35;3.74;0.02691;64;270;120
687;12;1.1725;14.07;2.98;0.017784;54;180;120
83287;12;1.4473;17.3676;2.57;0.02184;40;360;120
84988;12;1.321;15.852;2.57;0.02184;40;360;120
2980;12;0.9704;11.6448;3.76;0.0234;36;270;120
1602;12;0.9273;11.1276;2.19;0.022572;44;180;120
1685;12;0.8083;9.6996;2.04;0.01856;104;60;30
1669;12;0.9652;11.5824;2.49;0.022572;44;180;126
3905;16;1.3346;21.3536;2.99;0.04212;42;330;120
3921;14;1.4946;20.9244;3.4;0.0468;28;330;120
4028;16;1.6883;27.0128;3.8;0.03456;48;360;120
2501;12;1.1199;13.4388;3.5;0.018759;48;180;130
2527;12;1.2052;14.4624;2.6;0.01904;60;300;120
2626;12;1.142;13.704;3.6;0.01728;48;180;130
2642;12;1.1199;13.4388;3;0.013572;64;180;130
3129;12;0.9852;11.8224;4;0.0225;36;240;120
2105;8;1.381;11.048;8.6;0.065968;56;360;240
2147;16;1.1178;17.8848;6.1;0.034048;48;300;210
2386;16;1.0336;16.5376;4;0.030969;48;180;90
2287;12;1.1557;13.8684;2.98;0.017784;54;180;90
2204;12;1.1031;13.2372;4.4;0.0378;27;190;90
2220;12;1.2789;15.3468;4.4;0.0364;27;220;120
2246;12;1.2989;15.5868;4.2;0.0378;27;210;120
2329;16;0.2378;3.8048;1.4;0.01334;117;240;120
2345;16;0.2378;3.8048;1.4;0.01224;117;240;120
2360;16;0.2378;3.8048;1.4;0.010005;117;240;120
3269;15;0.9483;14.2245;3;0.021866;84;300;120
3285;12;0.9483;11.3796;3;0.021866;84;300;120
3244;12;0.9483;11.3796;3;0.021866;84;300;120
2964;25;0.5368;13.42;4.3;0.02;21;160;100
4200;12;1.2031;14.4372;6.3;0.009152;90;180;120
4226;12;1.3199;15.8388;6.3;0.012597;96;180;120
4267;12;1.3199;15.8388;6;0.013338;84;180;120
4283;12;1.401;16.812;6;0.013338;84;180;120
4242;12;1.3199;15.8388;6.3;0.011934;96;180;120
4085;10;1.6315;16.315;2.1;0.00952;80;180;120
3962;10;1.5641;15.641;2.1;0.00952;80;180;120
3988;10;1.7746;17.746;2.1;0.00952;80;180;120
11148;12;1.3231;15.8772;2.82;0.0152;108;180;120
11189;12;1.5062;18.0744;2.82;0.0152;108;180;120
11106;12;0.502;6.024;1.1;0.00912;168;270;120
11122;12;0.5494;6.5928;1.1;0.00912;168;300;120
11346;12;0.6462;7.7544;0.92;0.009728;168;210;120
12443;12;1.2789;15.3468;1.96;0.01674;88;270;120
12468;12;1.2789;15.3468;1.96;0.017577;88;270;120
11247;14;0.8252;11.5528;1.3;0.01638;88;210;120
11262;14;0.8252;11.5528;1.3;0.01638;88;210;120
505347;24;0.9178;22.0272;3.96;0.0416;24;270;120
133009;24;0.6894;16.5456;2.91;0.01449;65;180;90
11643;12;0.6705;8.046;2.09;0.01584;104;210;120
11825;12;0.7726;9.2712;1.83;0.01512;117;210;120
11841;12;0.7062;8.4744;1.83;0.01512;117;210;90
13003;24;0.5263;12.6312;2.91;0.01449;65;270;120
13946;24;0.6894;16.5456;2.91;0.015246;65;180;120
15461;24;0.6894;16.5456;2.91;0.015246;65;240;120
8748;24;0.7241;17.3784;2.91;0.01449;65;240;120
15586;10;1.021;10.21;1.2;0.019656;50;210;120
15602;10;1.021;10.21;1.2;0.019656;50;210;120
15982;10;1.1273;11.273;1.2;0.019656;50;180;150
16006;10;1.021;10.21;1.2;0.019656;50;210;120
7609;6;1.5304;9.1824;1.7;0.01536;54;240;120
7682;6;1.561;9.366;1.7;0.01536;54;240;120
7187;16;0.5368;8.5888;2.31;0.0168;56;180;120
7146;8;2.2557;18.0456;5.96;0.050622;27;210;120
8680;16;0.7305;11.688;2.19;0.01638;56;240;120
7625;16;0.4715;7.544;2.18;0.00828;56;180;120
7708;16;0.5831;9.3296;2.31;0.018;56;180;120
787648;12;1.0641;12.7692;1.7;0.034;27;180;120
787663;12;1.0641;12.7692;1.7;0.034;27;180;120
7963;12;0.6894;8.2728;1.51;0.02112;50;180;90
8102;16;0.7547;12.0752;2.06;0.01638;56;180;120
8144;16;0.6978;11.1648;2.32;0.015834;56;180;90
7641;12;1.2515;15.018;1.46;0.018;56;180;120
7666;12;1.2515;15.018;1.46;0.018;56;180;120
505420;24;0.9178;22.0272;3.96;0.0416;24;270;120
15867;20;0.4189;8.378;1.3;0.0216;80;120;90
45062;18;1.142;20.556;1.69;0.01632;48;240;120
33282;9;1.6536;14.8824;1.02;0.011154;90;270;120
33308;9;1.6536;14.8824;1.33;0.011154;90;270;120
33845;9;1.6536;14.8824;1.33;0.011154;90;270;120
15263;15;0.501;7.515;2;0.0264;40;180;120
787622;20;0.9273;18.546;3.36;0.0624;16;150;120
785766;20;1.0568;21.136;3.36;0.0624;16;180;120
499244;20;1.0568;21.136;3.36;0.0624;16;180;120
15164;15;0.6252;9.378;1.62;0.0252;40;180;120
15123;15;0.6252;9.378;2;0.0252;40;180;90
15388;9;1.1873;10.6857;1.89;0.0312;32;180;120
15222;9;1.1873;10.6857;1.89;0.0312;32;180;120
15149;9;1.1873;10.6857;1.89;0.0312;32;180;120
15180;9;1.1873;10.6857;1.89;0.0312;32;180;120
33589;12;1.3336;16.0032;1.17;0.02262;40;240;120
30486;9;1.6536;14.8824;1.01;0.008892;81;270;120
16063;15;0.9031;13.5465;3.33;0.021888;40;180;120
15321;15;0.8862;13.293;3.51;0.0234;40;180;90
