id;nom
909;LES CRUDETTES
910;LUNOR
911;POM'PRETE
912;FLORETTE
913;CREALINE
914;McCAIN
915;CRUDETTE
916;BONDUELLE
917;BELLE FRANCE
918;ECOPRIX
919;ANDROS
920;WINNY
921;SIMON
922;LA MONEGASQUE
923;DELICEMER
924;COMPTOIR DU CAVIAR
925;CORAYA
926;PÊCHEURS D'ISLANDE
927;FREGALINE
928;FRAIS EMBAL
929;L'ASSIETTE BLEUE
930;LABEYRIE
931;LES DÉLICES DE BELLE FRANCE
932;ARMORIC
933;KRITSEN
934;DELPEYRAT
935;GUYADER
936;CARESSE ANTILLAISE
937;FLEURY MICHON
938;DANAO
939;INNOCENT
940;MICHEL & AUGUSTIN
941;NAKED
942;SUNNY DELIGHT
943;TROPICANA
944;BAHIER
945;REGHALAL
946;LE GAULOIS
947;ISLA DELICE
948;HERTA
949;CITTERIO
950;COCHONOU
951;MADRANGE
952;-
953;MONTAGNE NOIRE
954;AOSTE
955;CEBO
956;FRAIS DEVANT!
957;FRAIS DEVANT
958;JUAN PABLO
959;TRADIVAL
960;REGIS BAHIER
961;MAÎTRE COQ
962;LE BISTRONOME
963;SAINDOUX
964;BORDEAUX CHESNEL
965;LOUE
966;STOEFFLER
967;JUSTIN BRIDOU
968;ESPUNA
969;MORONI
970;SALAISONS DU MACONNAIS
971;DELICE DE SAINT-AGAUNE
972;GOURMETS DE L'ARTOIS
973;SOCOPA
974;VALTERO
975;LES BRASERADES
976;CHARAL
977;TENDREMENT BON
978;WEIGHT WATCHERS
979;LES BONS MORCEAUX
980;SODEBO
981;LA BARRE
982;BLINI
983;L'ATELIER BLINI
984;CROC'FRAIS
985;JACQUET
986;BAIL
987;TARTEFRAIS
988;LUSTUCRU
989;GIOVANNI RANA
990;ANTICA PASTERIA
991;DIAMANTI
992;MARIE
993;DAUNAT
994;PASO TRAITEUR
995;CEREAL
996;TAKA SODEBO
997;UNIFRAIS
998;SAINT JEAN
999;SOJASUN
1000;CAP OCEAN
1001;GERBLE & FLEURY MICHON
1002;TRADITIONS D'ASIE
1003;CITE MARINE
1004;LES DELICES DE LA FONTMIAU
1005;TE GUSTA
1006;PIERRE MARTINET
1007;BRINDELICES
1008;GREEN SHOOT
1009;COVENT GARDEN
1010;ALVALLE
1011;L'OEUF DE NOS VILLAGES
1012;HARRY'S
1013;REGENT'S PARK
1014;PANORIENT
1015;EUROPITA
1016;LA BOULANGERE
1017;LA CREPE DE BROCELIANDE
1018;DESSAINT
1019;PAYSAN BRETON
1020;KINDER
1021;CROUSTIPATE
1022;EXTRÊME NESTLE
1023;OASIS
1024;DISNEY
1025;STAR WARS DISNEY
1026;HÄAGEN-DAZS
1027;MILKA
1028;DAIM
1029;OREO
1030;TOBLERONE
1031;MARS
1032;SNICKERS
1033;BOUNTY
1034;TWIX
1035;YSCO
1036;NESTLE
1037;MIKO
1038;PILPA
1039;TIPIAK
1040;LABEYRIE PÂTISSIER
1041;CARTE D'OR
1042;VIENNETTA
1043;BEN & JERRY'S
1044;COBANA
1045;FRUIT D'OR
1046;OROGEL
