reference;nom;marque;conditionnement
952960;Pizza 3 fromages le Réflexe Bio;BELLE FRANCE;L'étui 380 g
949644;Pizza 3 fromages feu de bois;BELLE FRANCE;L'étui 400 g
952903;Pizza bolognaise cuite sur pierre;BELLE FRANCE;L'étui 400 g
945105;Pizza chèvre feu de bois;BELLE FRANCE;L'étui 400 g
952861;Pizza chorizo feu de bois;BELLE FRANCE;L'étui 400 g
952887;Pizza fruits de mer feu de bois;BELLE FRANCE;L'étui 400 g
950501;Pizza jambon fromage;BELLE FRANCE;L'étui 350 g
501700;Pizza royale blanche;BELLE FRANCE;L'étui 400 g
949669;Pizza royale feu de bois;BELLE FRANCE;L'étui 440 g
953406;Pizza thon au feu de bois;BELLE FRANCE;L'étui 400 g
985069;Crêpe au fromage x 6;BELLE FRANCE;L'étui 300 g
985044;Crêpe au jambon et au fromage x 6;BELLE FRANCE;L'étui 300 g
949784;Mini feuilleté apéritif x 40;BELLE FRANCE;L'étui 425 g
949800;Mini feuilleté saucisse moutarde x 20;BELLE FRANCE;L'étui 350G
948869;Panier feuilleté fromage de chèvre x4;BELLE FRANCE;L'étui 320G
969204;Panier feuilleté jambon emmental x 4;BELLE FRANCE;L'étui 320 g
592444;Flammekueche alsacienne;LES DELICES DE BELLE FRANCE;L'étui 260 g
942607;Quiche lorraine;BELLE FRANCE;L'étui 400 g
966960;Tarte au saumon et aux épinards;BELLE FRANCE;L'étui 400 g
942623;Tarte aux 3 fromages;BELLE FRANCE;L'étui 400 g
941401;Tarte aux poireaux;BELLE FRANCE;L'étui 400 g
952929;Tarte tomate chèvre;BELLE FRANCE;L'étui 400 g
942680;Tourte champignons jambon;BELLE FRANCE;L'étui 500 g
954529;Cheeseburger x 2;BELLE FRANCE;L'étui 260 g
985606;Coquille Saint Jacques à la bretonne x 2;BELLE FRANCE;L'étui 220G
986463;Escargot de Bourgogne x 12;LES DELICES DE BELLE FRANCE;La barquette 89 g
986521;Spécialité beurre ail et persil;BELLE FRANCE;250 g
985986;Gratin de macaroni au jambon;BELLE FRANCE;L'étui 900 g
985960;Lasagne à la bolognaise;BELLE FRANCE;L'étui 1 KG
985861;Lasagne à la bolognaise;BELLE FRANCE;L'étui 500 g
948380;Torsade à la carbonara;BELLE FRANCE;Le sachet 900 g
