reference;weight
603266;0.5
542688;3.8
586388;4.95
578542;1.2
755280;0.466
578500;0.15
754622;0.527
754960;0.42
754986;0.42
578567;0.15
739888;0.495
812628;0.791
578526;0.5
806968;0.791
762708;0.791
569301;1.061
799148;4
799106;2.8
579540;6.51
493783;4.98
501445;0.3
892083;0.672
800581;0.048
770503;0.7
501668;3.8
802769;2.28
593343;0.8
501429;0.9
753145;3.5
753129;4.5
753228;1.81
752907;6.315
564724;0.662
564708;2.44
753244;1.734
753269;6.315
532960;5.641
532903;4.795
702845;12
709063;1.65
702662;0.5
707943;4.3
707984;4.3
586206;3.88
701524;1.845
701763;1.845
703405;5
747923;7
495028;5
747949;1.812
709865;6.8
754945;6
522540;5
818906;9
710343;6
349;8.3
1305;4.26
14381;5
14126;3.28
523845;1.85
19307;4.43
19281;4.43
62307;3.115
64204;0.85
262162;4.4
232488;2.5
472225;6
495044;2.65
495903;8
466862;3.4
496141;3.7
472464;11
480400;6
480426;6
517383;11.2
512541;5
529503;2.8
46185;1.34
171348;7.2
608042;3
608265;3.5
310763;11.3
254946;6.7
325944;7.2
143149;6.96
79004;1.8
538488;7.4
539262;5.2
539403;5.2
538827;6
538843;6
538884;5.5
768523;11.2
81166;1.84
83261;1.01
81125;1
864041;1.7
270843;6.6
44065;1.7
42622;3.6
42689;3.557
44404;4
40907;4
871269;0.5
872747;0.5
872762;0.5
872788;0.5
873026;0.5
872721;0.5
873042;0.5
578708;12.6
609784;5.1
611962;19.2
512947;7.8
638080;8.5
603886;13.4
603662;13.4
603902;13.4
602904;6.5
657320;8
647008;7.2
624163;8
627984;8
617126;7.2
625640;16
624569;7.5
616524;7.2
621144;8
617787;7.2
626382;7.65
616920;7.4
656520;7.9
617068;7.5
649244;8
635227;7.9
658526;7.5
744482;7.6
768606;3.941
839928;2.61
493767;5.4
599340;0.961
845206;2.85
845305;2.6
846501;3.12
844605;3.029
825547;1.278
845545;2.486
847145;1.996
847160;2.72
846840;1.158
836080;3
835280;7.3
838367;0.7
768440;0.812
557686;1.8
837963;3
837260;3
838185;3.04
807503;1.6
769547;1.793
769885;0.6
836304;1.871
814301;0.46
807545;1.6
809103;4.2
809822;1.22
807164;1
808089;3.2
807065;4.3
807586;6
807701;1.4
808626;1.13
841924;2.8
810226;2.5
849067;3.2
832782;1.87
844027;2.117
824367;0.52
824383;0.52
824409;0.52
824441;0.52
815621;3.635
815969;3.635
816462;3.635
596767;1.5
810788;6.5
858761;0.406
858746;0.406
858787;0.422
850628;2.1
919225;1.6
919449;2.8
934109;3.1
691428;2
961961;0.4
961987;0.4
851782;1.4
812404;1.2
561167;2.6
849307;1.2
942664;1.05
946806;1.05
923763;2.43
930628;2.7
923565;0.54
931766;0.54
923748;2.25
924787;2.4
910281;3
852087;1.15
935304;0.7
911925;3
824920;1.2
496703;1.08
676841;2.5
676908;2.5
676866;6.3
529008;1.3
696385;5
950220;6.66
556829;4.042
524140;4.042
939108;6.67
542464;6.579
709386;6.572
939686;8.5
939660;6.67
943803;6.67
542480;6.579
709782;6.63
939702;12
908269;6.5
939140;6.67
943829;6.67
939728;12
939785;13.3
939207;6.66
939124;5.2
529420;5.9
557462;2.1
663468;12.6
528141;4.9
528182;2.7
660324;2.72
660340;2.72
834168;1.25
575829;0.72
963744;0.66
913525;0.954
831503;1.224
530923;0.9
831487;1.224
769901;1.4
851667;0.981
504944;1.3
505024;1.3
505008;1.3
504985;1.6
569806;1.7
506469;1
505842;1
506527;1
506485;1
913186;3.6
567222;2.419
952127;2.9
880864;1.6
509083;2.75
509125;2.64
675546;6.3
664201;3.4
508549;3.5
941369;4
982124;12.32
824763;1.9
839902;1.9
956201;5.4
956227;5.4
857243;2
855106;5.4
944561;6
29363;5.4
769422;6.1
408286;12
472027;12
738047;1.962
669325;6.4
740084;4.2
813543;0.791
567487;0.791
824425;0.52
593368;3.8
