upc;filename;etat;gencod;prix_final;prix_base;nom;reference;id;short_description;quantite;manufacturer;categorie;unite;prix_unite;profondeur;weight;feature;minimal_quantity;;;
111212002;centraleachatexport.com/22853-small_default/pommes-de-terre-entieres-cuites.jpg;1;3,22729E+12;14.8158;14.815800;Pommes de terre entières cuites;936401;2;<p>Pommes de terre entières cuites LUNOR Le sachet 500g</p>;10000;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.015640;6.600000;Conditionnement-Le sachet 500g,Unité par carton-12,NB carton/palette-63,DLV Garantie-50,DLV Théorique-70;1;;;
111212003;centraleachatexport.com/22854-small_default/pommes-de-terre-en-lamelles-cuites.jpg;1;3,22729E+12;14.8158;14.815800;Pommes de terre en lamelles cuites;936427;3;<p>Pommes de terre en lamelles cuites LUNOR Le sachet 500g</p>;9999;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.015640;6.600000;Conditionnement-Le sachet 500g,Unité par carton-12,NB carton/palette-63,DLV Garantie-50,DLV Théorique-70;1;;;
111212005;centraleachatexport.com/36574-small_default/les-pommes-de-terre-creoles.jpg;1;3,22729E+12;18.738;18.738000;Les pommes de terre Créoles;584227;5;<p>Les pommes de terre Créoles LUNOR L'étui 400g</p>;10000;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.039600;4.800000;Conditionnement-L'étui 400g,Unité par carton-12,NB carton/palette-64,DLV Garantie-40,DLV Théorique-60;1;;;
111212006;centraleachatexport.com/22856-small_default/carottes-en-rondelles.jpg;1;3,22729E+12;13.1868;13.186800;Carottes en rondelles;936443;6;Carottes en rondelles LUNOR La barquette 400g;10000;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.015640;6.600000;Conditionnement-La barquette 400g,Unité par carton-12,NB carton/palette-72,DLV Garantie-40,DLV Théorique-60;1;;;
111212007;centraleachatexport.com/22857-small_default/lentilles-legumes-vapeur.jpg;1;3,22729E+12;15.2136;15.213600;Lentilles Légumes Vapeur;936468;7;Lentilles Légumes Vapeur LUNOR La barquette 500g;10000;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.015640;6.600000;Conditionnement-La barquette 500g,Unité par carton-12,NB carton/palette-63,DLV Garantie-40,DLV Théorique-60;1;;;
111212008;centraleachatexport.com/22858-small_default/mais-epi.jpg;1;3,22729E+12;20.52;20.520000;Maïs épi;945501;8;Maïs épi LUNOR Le sachet 400g;9994;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.045000;4.800000;Conditionnement-Le sachet 400g,Unité par carton-12,NB carton/palette-98,DLV Garantie-45,DLV Théorique-60;1;;;
111212009;centraleachatexport.com/27791-small_default/pomme-de-terre-sous-vide.jpg;1;3,22729E+12;17.4315;17.431500;Pomme de Terre sous vide;936500;9;Pomme de Terre sous vide POM'PRETE Le sac 1kg;10000;POM'PRETE;1,2,6261,6271,6366,6554;10;10.000000;0.016940;10.500000;Conditionnement-Le sac 1kg,Unité par carton-10,NB carton/palette-55,DLV Garantie-40,DLV Théorique-60;1;;;
111212010;centraleachatexport.com/37030-small_default/betteraves-rouges-epluchees.jpg;1;3,25583E+12;8.6958;8.695800;Betteraves rouges épluchées;940262;10;Betteraves rouges épluchées LUNOR Le sachet 500g;9998;LUNOR;1,2,6261,6271,6366,6554;12;12.000000;0.014025;6.500000;Conditionnement-Le sachet 500g,Unité par carton-12,NB carton/palette-96,DLV Garantie-40,DLV Théorique-60;1;;;
111212011;centraleachatexport.com/22860-small_default/les-carottes-rapees.jpg;1;3,28022E+12;4.8945;4.894500;Les Carottes Râpées;851709;11;Les Carottes Râpées  FLORETTE le sachet de 250 g;10000;FLORETTE;1,2,6261,6271,6366,6554;5;5.000000;0.002772;1.400000;Conditionnement-le sachet de 250 g,Unité par carton-5,NB carton/palette-120,DLV Garantie-6,DLV Théorique-7;1;;;
111212012;centraleachatexport.com/22861-small_default/le-chou-rouge.jpg;1;3,28022E+12;5.1075;5.107500;Le Chou Rouge;851766;12;Le Chou Rouge FLORETTE le sachet de 250 g;10000;FLORETTE;1,2,6261,6271,6366,6554;5;5.000000;0.002772;1.400000;Conditionnement-le sachet de 250 g,Unité par carton-5,NB carton/palette-120,DLV Garantie-6,DLV Théorique-7;1;;;
