nom_categorie1;nom_categorie2;nom_categorie3;nom;Conditionnement;marque;BF;BIO;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;Hauteur ;Longueur ;Largeur ;profondeur;Nb de cartons par couche;Nb de couche par palette;NB carton/palette;DLV Theorique;DLV Garantie;etat
LIQUIDES;Mousseux & champagnes;Les champagnes;Champagne Brut Impérial;La bouteille 75cl + étui;MOËT & CHANDON;NAT; ;35110660;629709;3185370000335;6;26.0613;156.3678;10.2;37;34;29;0.036;17;5;85;0;0;1
EPICERIE;Desserts;Les fruits secs;Dattes;250g;BELLE FRANCE;BF; ;12107620;197384;3258561401010;24;0.5494;13.1856;6.5;15;48;24;0.017;7;10;70;240;90;1
LIQUIDES;Alcools & spiritueux;Les bourbons - whiskey canadien-irlandais-japonais;Tennessee Whiskey Old n°7;La bouteille 70cl;JACK DANIEL'S;NAT; ;37700610;641563;3099873045864;6;9.4622;56.7732;7.6;28;27;17;0.013;17;6;102;0;0;1
EPICERIE;Biscuiterie;Les biscuits secs;Petit Beurre garanti pur beurre;Le paquet 200g;BELLE FRANCE;BF; ;2706600;26229;3258561020297;24;0.6631;15.9144;5.38;24;36;23;0.02;12;4;48;270;120;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Jus d'orange;La brique 1 litre;BELLE FRANCE;BF; ;30317000;603100;3258561300252;8;0.7599;6.0792;8.5;22;16;29;0.01;20;5;100;280;180;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Nectar multi fruits;La brique 1 litre;BELLE FRANCE;BF; ;30317070;603266;3258561300399;8;0.6305;5.044;0.5;22;30;16;0.011;20;5;100;300;180;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Jus d'ananas;La brique 1 litre;BELLE FRANCE;BF; ;30317060;603241;3258561300337;8;0.6157;4.9256;1.5;22;30;16;0.011;20;5;100;300;180;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Jus de raisin;La brique 1 litre;BELLE FRANCE;BF; ;30317040;603142;3258561300214;8;0.881;7.048;1.5;22;30;16;0.011;20;5;100;300;180;1
LIQUIDES;Vins rouges;Bordeaux rouge ao;Bordeaux Baron Philippe de Rothschild;La bouteille 75cl;MOUTON CADET 2015;NAT; ;34130300;622902;3262151637758;6;6.3545;38.127;8.4;32;25;16;0.013;25;5;125;0;0;1
LIQUIDES;Vins rouges;Bordeaux supérieur;Bordeaux supérieur boisé;La bouteille 75cl;BELLE FRANCE;BF; ;34133340;620369;3258561330914;6;2.2273;13.3638;7.5;31;24;16;0.012;25;4;100;0;0;1
LIQUIDES;Vins rouges;Bordeaux rouge ao;Bordeaux rouge;La bouteille 75cl;BELLE FRANCE;BF; ;34133320;618264;3258561340012;6;2.0009;12.0054;7.8;31;24;16;0.012;25;4;100;0;0;1
EPICERIE;Huiles & vinaigres;Les huiles d'olives;Huile d'olive vierge extra;La bouteille 1 litre;BELLE FRANCE;BF; ;17301900;306563;3258561170169;12;3.9556;47.4672;10.5;31;30;23;0.021;13;4;52;330;120;1
EPICERIE;Chocolat;Le chocolat pour desserts;Chocolat noir dessert;La tablette 200g;BELLE FRANCE;BF; ;6113100;101006;3258561060453;20;0.7031;14.062;4.2;11;25;20;0.006;18;10;180;360;120;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Jus d'orange 100% pur jus;La brique 1 litre;BELLE FRANCE;BF; ;30304400;605881;3258561301198;8;0.9904;7.9232;8.8;22;29;16;0.01;20;5;100;240;120;1
EPICERIE;Biscuiterie;Les biscuits secs;Petit beurre aux pépites de chocolat ;Le paquet 200g;BELLE FRANCE;BF; ;2706610;29629;3258561020280;24;0.8326;19.9824;5.38;24;36;23;0.02;11;4;44;330;120;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Jus de pomme;La brique 1 litre;BELLE FRANCE;BF; ;30317020;603126;3258561300290;8;0.5326;4.2608;8.5;23;29;16;0.011;20;5;100;300;180;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Nectar d'orange avec pulpe;La brique 2 litres;BELLE FRANCE;BF; ;30402200;603449;3258561300429;6;1.281;7.686;17.4;28;29;20;0.016;16;4;64;360;270;1
LIQUIDES;Jus fruits & sirops;Les sirops;Boisson à diluer menthe ;La bouteille 1L;;1P; ;30500960;723700;3014409003026;6;0.8547;5.1282;9.97;32;26;17;0.014;19;4;76;360;90;1
EPICERIE;Céréales;Les corn flakes;Céréales corn flakes;Le paquet 375g;BELLE FRANCE;BF; ;4401500;83709;3258561040219;5;0.6873;3.4365;1.88;30;39;21;0.025;12;3;36;270;120;1
LIQUIDES;Jus fruits & sirops;Les jus de fruits en briques;Nectar Multifruits;La brique 2 litres;BELLE FRANCE;BF; ;30402210;742189;3258561300382;6;1.1904;7.1424;13;28;30;19;0.016;16;4;64;180;90;1
EPICERIE;Céréales;Les céréales sucrées & au miel;Céréales pétales de maïs glacés au sucre;Le paquet 375g;BELLE FRANCE;BF; ;4401750;83980;3258561040233;6;0.7852;4.7112;2.25;31;39;20;0.024;12;3;36;270;120;1
LIQUIDES;Vins rouges;Saint Emilion;Lussac Saint-Emilion rouge 2014;La bouteille 75cl;BELLE FRANCE;BF; ;34132270;636506;3258561330945;6;3.7198;22.3188;7.45;31;24;16;0.012;25;4;100;0;0;1
LIQUIDES;Boissons petits formats pour enfants;Les jus de fruits;Nectar multivitaminé;Le pack 6 briques x 20cl;BELLE FRANCE;BF; ;30316840;603308;3258561300412;4;1.042;4.168;1.5;10;40;30;0.012;12;12;144;240;90;1
EPICERIE;Huiles & vinaigres;Les vinaigres;Vinaigre de cidre de Normandie;La bouteille 75cl;BELLE FRANCE;BF; ;18300100;312603;3258561180113;6;0.7483;4.4898;6.2;27;27;17;0.012;20;5;100;360;240;1
EPICERIE;Biscuiterie;Gâteaux a partager;Marbré chocolat;L'étui 300g;BELLE FRANCE;BF; ;2642620;22905;3258561020112;12;0.962;11.544;3.25;26;25;30;0.02;8;5;40;240;120;1
ARTICLES BAZAR;Sacs poubelles;-;10 sacs poubelles spécial jardin 130 litres;10x130L;BELLE FRANCE;BF; ;54557250;748665;3258561541839;18;1.0789;19.4202;13.74;23;50;30;0.035;6;7;42;0;0;1
LIQUIDES;Alcools & spiritueux;Les vodka;Vodka 40°;La bouteille 70cl;GREY GOOSE;NAT; ;37601200;587782;5010677850100;6;19.7493;118.4958;10.2;35;24;16;0.013;21;4;84;0;0;1
EPICERIE;Céréales;Les céréales chocolatées;Céréales pétales de blé au chocolat;Le paquet 375g;BELLE FRANCE;BF; ;4401620;83782;3258561040370;7;0.8062;5.6434;2.25;34;39;20;0.027;12;3;36;270;120;1
LIQUIDES;Colas - limonades & sodas;Les boîtes;Coca cola zéro ;Le pack 6 x 33cl;COCA-COLA;NAT; ;30221550;590422;5000112609547;4;2.4883;9.9532;8.1;12;40;27;0.013;10;12;120;180;90;1
ARTICLES BAZAR;Essuie tout;-;4 rouleaux essuie tout blanc super absorbant;x4;BELLE FRANCE;BF; ;51945060;743823;3258561668253;12;0.8873;10.6476;6.325;24;78;61;0.114;2;5;10;0;0;1
EPICERIE;Chocolat;Le chocolat noir;Chocolat noir;Le lot 3 tablettes x 100g;BELLE FRANCE;BF; ;6133500;101105;3258561060019;10;1.1125;11.125;3.23;9;27;18;0.004;19;12;228;330;120;1
EPICERIE;Biscuits apéritifs;Les chips natures;Chips à l'ancienne;Le pack 6x30g;BELLE FRANCE;BF; ;24103980;542688;3258561239859;14;0.8336;11.6704;3.8;24;60;40;0.058;4;8;32;150;90;1
EPICERIE;Biscuiterie;Les biscuits secs;Sablés coco  ;Le paquet 125g;BELLE FRANCE;BF; ;2710300;29389;3258561020358;24;0.3578;8.5872;3.36;18;29;24;0.013;13;9;117;270;120;1
LIQUIDES;Colas - limonades & sodas;Les packs;Tonic  ;Le pack 4 x 50cl;BELLE FRANCE;BF; ;30232750;581702;3258561300986;6;0.9736;5.8416;13.32;21;41;27;0.023;7;9;63;240;90;1
