RAYON;Famille;nom_categorie;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;profondeur;Hauteur;Longueur;Largeur;NB carton/palette;Nb de cartons par couche;Nb de couche par palette;DLV Theorique;DLV Garantie;BF;BIO;nom;Conditionnement;marque;etat
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1101320;349;7622210416704;8;2.5293;20.2351;8.3;0.056758;26;59;37;16;4;4;240;120;NAT; ;Biscotte nature 108 tranches;Le paquet 875g;HEUDEBERT;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1101330;364;7622210416681;15;0.9452;14.1785;5.42;0.040356;36;59;19;24;8;3;240;120;NAT; ;La Biscotte nature 96% de céréale;Le paquet 300g;HEUDEBERT;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1101370;281;3392460480827;15;1.2746;19.1204;5.42;0.040356;36;59;19;24;8;3;180;90;NAT; ;La Biscotte 6 céréales;Le paquet 300g;HEUDEBERT;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES SANS SEL ET SANTÉ;1101380;307;3017760363990;15;1.4852;22.2782;4.61;0.040356;36;59;19;24;8;3;180;90;NAT; ;Biscotte riche en fibres 34 tranches;Le paquet 280g;HEUDEBERT;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1101420;1388;3017760771894;15;1.3136;19.7046;5.35;0.0432;36;60;20;24;8;3;270;120;NAT; ;La Biscotte Goût Brioché;Le paquet 290g;HEUDEBERT;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1102100;406;3392460482005;16;1.2873;20.5972;5.25;0.046592;32;52;28;18;6;3;180;90;NAT; ;Biscottes gourmandes;Le paquet 285g;PELLETIER;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES SANS SEL ET SANTÉ;1104990;3004;3258561010014;18;1.062;19.1173;6.77;0.05148;39;55;24;35;7;5;180;120;BF;BIO;36 Biscottes complètes Le Réflexe BIO;La boîte 300g;BELLE FRANCE;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1105000;2709;3258561010021;18;0.6599;11.8796;6.65;0.055224;39;59;24;35;7;5;240;120;BF; ;Biscotte 36 tranches;Le paquet 300g;BELLE FRANCE;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1105010;2923;3258561010052;18;0.8241;14.8353;6.8;0.05148;39;55;24;35;7;5;180;120;BF; ;Biscotte 6 céréales 36 tranches;Le paquet 300g;BELLE FRANCE;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1105020;2741;3258565010027;10;1.3589;13.589;9.13;0.058695;39;43;35;30;6;5;240;120;1P; ;Biscotte nature 100 tranches;Le paquet 830g;EP;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES SANS SEL ET SANTÉ;1105150;3046;3182180012183;12;0.9147;10.9765;4.56;0.03648;40;38;24;40;10;4;210;120;NAT; ; ; ; ;#N/A
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES SANS SEL ET SANTÉ;1105200;3525;3182180012190;12;0.9147;10.9765;4;0.035568;39;38;24;40;10;4;235;90;NAT; ; ; ; ;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES SANS SEL ET SANTÉ;1201000;240;3392460481114;15;1.1304;16.9573;5.42;0.0207;30;30;23;24;8;3;180;120;NAT; ;La Biscotte sans sel ajouté Pleine vie;Le paquet 300g;HEUDEBERT;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES AVEC SEL;1201100;3947;3273670001302;6;1.1504;6.9029;4.06;0.03726;30;46;27;126;21;6;330;120;NAT; ;La Biscotte de Boulanger Fine et Légère;Le paquet 180g;ROGER;1
EPICERIE;BISCOTTES ET ASSIMILES;LES BISCOTTES SANS SEL ET SANTÉ;1205000;2725;3258561010045;18;0.6705;12.0691;6.65;0.04807;38;55;23;35;7;5;240;120;BF; ;Biscotte sans sel 36 tranches;Le paquet 300g;BELLE FRANCE;#N/A
EPICERIE;PRODUITS DIÉTÉTIQUES & REPAS;LES PRODUITS SANS GLUTEN;1300200;18143;8008698002209;6;2.563;15.3784;1.1;0.00322;23;10;14;52;13;4;240;120;NAT; ;Petit Crisp SKORPOR Sans Gluten;Le sachet 150g;SCHÄR;#N/A
EPICERIE;BISCOTTES ET ASSIMILES;LES TARTINES;1301000;422;3392460484801;12;1.5631;18.7573;6;0.03952;52;38;20;24;12;2;180;90;NAT; ;Tartine nature - 40 tranches;L'étui 325g;HEUDEBERT;#N/A
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS;1301010;1420;3392460480940;16;1.381;22.0961;6.2;0.06696;31;60;36;12;4;3;270;120;NAT; ;Pain grillé;L'étui 300g;PELLETIER VILLAGEOIS;1
EPICERIE;BISCOTTES ET ASSIMILES;LES TARTINES;1301150;489;3017760547093;12;1.6767;20.1215;5.2;0.04056;52;39;20;24;12;2;180;90;NAT; ; ; ; ;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS;1301520;1305;7622210416728;8;1.5431;12.3448;4.26;0.03432;22;60;26;30;6;5;240;120;NAT; ;Pain grillé au froment 22 tranches;Le paquet 455g;PELLETIER;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS SUÉDOIS;1304000;2808;7311070330571;15;1.1094;16.6416;4.2;0.02916;15;54;36;52;4;13;210;120;NAT; ;Petits pains suédois complets;Le paquet 225g;KRISPROLLS;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS SUÉDOIS;1304020;2824;7311070331004;15;1.1094;16.6416;4.2;0.02916;15;54;36;52;4;13;210;120;NAT; ;Petits pains suédois complets sans sucres ajoutés;Le paquet 225g;KRISPROLLS;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS SUÉDOIS;1304040;2840;7311070330687;15;1.1094;16.6416;4.2;0.02916;15;54;36;52;4;13;210;120;NAT; ;Petits pains suédois dorés;Le paquet 225g;KRISPROLLS;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS SUÉDOIS;1305300;2667;3258561010212;16;0.5441;8.7071;4.44;0.03996;37;60;18;40;8;5;240;120;BF; ;18 petits pains grillés au froment;Le paquet 225g;BELLE FRANCE;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS SUÉDOIS;1305320;2683;3258561010236;16;0.5441;8.7071;4.44;0.04212;39;60;18;40;8;5;240;120;BF; ;18 petits pains grillés au blé complet;Le paquet 225g;BELLE FRANCE;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS;1305500;2766;3258561010069;8;1.441;11.528;5;0.03276;21;60;26;30;6;5;180;120;BF; ;Pain grillé au froment;Le paquet 500g;BELLE FRANCE;1
EPICERIE;BISCOTTES ET ASSIMILES;LES PAINS GRILLÉS SUÉDOIS;1305510;3103;3258561010250;16;0.8557;13.6922;4.3;0.08208;36;60;38;40;8;5;180;120;BF;BIO;18 Petits pains grillés aux 5 céréales et 2 graines Le Réflexe BIO;Le sachet 225g;BELLE FRANCE;1
