id;short_description;nom;id_manufacturer;categorie;gencod;upc;minimal_quantity;prix_final;prix_unite;unite;reference;weight;feature[0];feature[1];feature[2];feature[3];feature[4];filename;etat;;;;
2;Pommes de terre entières cuites LUNOR Le sachet 500g;Pommes de terre entières cuites;910;6261;3,23E+12;111212002;1;14.815800;1.235000;12;936401;6.600000;Conditionnement-Le sachet 500g;Unité par carton-12;NB carton/palette-63;DLV Garantie-50;DLV Théorique-70;centraleachatexport.com/22853-small_default/pommes-de-terre-entieres-cuites.jpg;1;;;;
3;Pommes de terre en lamelles cuites LUNOR Le sachet 500g;Pommes de terre en lamelles cuites;910;6261;3,23E+12;111212003;1;14.815800;1.234650;12;936427;6.600000;Conditionnement-Le sachet 500g;Unité par carton-12;NB carton/palette-63;DLV Garantie-50;DLV Théorique-70;centraleachatexport.com/22854-small_default/pommes-de-terre-en-lamelles-cuites.jpg;1;;;;
5;Les pommes de terre Créoles LUNOR L'étui 400g;Les pommes de terre Créoles;910;6261;3,23E+12;111212005;1;18.738000;1.561500;12;584227;4.800000;Conditionnement-L'étui 400g;Unité par carton-12;NB carton/palette-64;DLV Garantie-40;DLV Théorique-60;centraleachatexport.com/36574-small_default/les-pommes-de-terre-creoles.jpg;1;;;;
6;Carottes en rondelles LUNOR La barquette 400g;Carottes en rondelles;910;6261;3,23E+12;111212006;1;13.186800;1.098900;12;936443;6.600000;Conditionnement-La barquette 400g;Unité par carton-12;NB carton/palette-72;DLV Garantie-40;DLV Théorique-60;centraleachatexport.com/22856-small_default/carottes-en-rondelles.jpg;1;;;;
7;Lentilles Légumes Vapeur LUNOR La barquette 500g;Lentilles Légumes Vapeur;910;6261;3,23E+12;111212007;1;15.213600;1.267800;12;936468;6.600000;Conditionnement-La barquette 500g;Unité par carton-12;NB carton/palette-63;DLV Garantie-40;DLV Théorique-60;centraleachatexport.com/22857-small_default/lentilles-legumes-vapeur.jpg;1;;;;
8;Maïs épi LUNOR Le sachet 400g;Maïs épi;910;6261;3,23E+12;111212008;1;20.520000;1.710000;12;945501;4.800000;Conditionnement-Le sachet 400g;Unité par carton-12;NB carton/palette-98;DLV Garantie-45;DLV Théorique-60;centraleachatexport.com/22858-small_default/mais-epi.jpg;1;;;;
9;Pomme de Terre sous vide POM'PRETE Le sac 1kg;Pomme de Terre sous vide;911;6261;3,23E+12;111212009;1;17.431500;1.743150;10;936500;10.500000;Conditionnement-Le sac 1kg;Unité par carton-10;NB carton/palette-55;DLV Garantie-40;DLV Théorique-60;centraleachatexport.com/27791-small_default/pomme-de-terre-sous-vide.jpg;1;;;;
10;Betteraves rouges épluchées LUNOR Le sachet 500g;Betteraves rouges épluchées;910;6261;3,26E+12;111212010;1;8.695800;0.724650;12;940262;6.500000;Conditionnement-Le sachet 500g;Unité par carton-12;NB carton/palette-96;DLV Garantie-40;DLV Théorique-60;centraleachatexport.com/37030-small_default/betteraves-rouges-epluchees.jpg;1;;;;
11;Les Carottes Râpées  FLORETTE le sachet de 250 g;Les Carottes Râpées;912;6261;3,28E+12;111212011;1;4.894500;0.978900;5;851709;1.400000;Conditionnement-le sachet de 250 g;Unité par carton-5;NB carton/palette-120;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22860-small_default/les-carottes-rapees.jpg;1;;;;
12;Le Chou Rouge FLORETTE le sachet de 250 g;Le Chou Rouge;912;6261;3,28E+12;111212012;1;5.107500;1.021500;5;851766;1.400000;Conditionnement-le sachet de 250 g;Unité par carton-5;NB carton/palette-120;DLV Garantie-6;DLV Théorique-7;centraleachatexport.com/22861-small_default/le-chou-rouge.jpg;1;;;;
13;Baby  carottes FLORETTE Le sachet 250g;Baby  carottes;912;6261;3,28E+12;111212013;1;9.615750;1.923150;5;851782;1.400000;Conditionnement-Le sachet 250g;Unité par carton-5;NB carton/palette-120;DLV Garantie-11;DLV Théorique-12;centraleachatexport.com/22862-small_default/baby-carottes.jpg;1;;;;
14;L'Assiette Croquante (Chou blanc, Carotte, Frisée, Poivron rouge) FLORETTE le sachet de 250 g;L'Assiette Croquante (Chou blanc, Carotte, Frisée, Poivron rouge);912;6261;3,28E+12;111212014;1;6.868500;1.373700;5;851741;1.400000;Conditionnement-le sachet de 250 g;Unité par carton-5;NB carton/palette-120;DLV Garantie-4;DLV Théorique-5;centraleachatexport.com/22863-small_default/l-assiette-croquante-chou-blanc-carotte-frisee-poivron-rouge.jpg;1;;;;
15;Les Crudités Mélangées (Chou blanc, Carotte & Céleri branche) FLORETTE le sachet de 250 g;Les Crudités Mélangées (Chou blanc, Carotte & Céleri branche);912;6261;3,28E+12;111212015;1;5.857500;1.171500;5;851725;1.400000;Conditionnement-le sachet de 250 g;Unité par carton-5;NB carton/palette-120;DLV Garantie-5;DLV Théorique-6;centraleachatexport.com/22864-small_default/les-crudites-melangees-chou-blanc-carotte-celeri-branche.jpg;1;;;;
16;L'Écrasé de pommes de terre aux 2 carottes CREALINE 2x200g;L'Écrasé de pommes de terre aux 2 carottes;913;6261;3,42E+12;111212016;1;10.408200;2.602050;4;567248;2.250000;Conditionnement-2x200g;Unité par carton-4;NB carton/palette-96;DLV Garantie-16;DLV Théorique-19;centraleachatexport.com/22865-small_default/l-ecrase-de-pommes-de-terre-aux-2-carottes.jpg;1;;;;
17;Frites fraîches Coupe Classique McCAIN le sachet 450g;Frites fraîches Coupe Classique;914;6261;8,71E+12;111212017;1;7.515600;5.010400;4;966424;1.800000;Conditionnement-le sachet 450g;Unité par carton-4;NB carton/palette-192;DLV Garantie-8;DLV Théorique-12;centraleachatexport.com/22866-small_default/frites-fraiches-coupe-classique.jpg;0;;;;
19;Pommes de  terre sautées à l'ail & persil McCAIN Barquette 400 g;Pommes de  terre sautées à l'ail & persil;914;6261;8,71E+12;111212019;1;9.309000;6.206000;4;966523;1.600000;Conditionnement-Barquette 400 g;Unité par carton-4;NB carton/palette-96;DLV Garantie-15;DLV Théorique-18;centraleachatexport.com/22868-small_default/pommes-de-terre-sautees-a-l-ail-persil.jpg;0;;;;
20;Demi-grenailles au romarin McCAIN Barquette 400 g;Demi-grenailles au romarin;914;6261;8,71E+12;111212020;1;9.309000;6.206000;4;966549;1.600000;Conditionnement-Barquette 400 g;Unité par carton-4;NB carton/palette-96;DLV Garantie-14;DLV Théorique-18;centraleachatexport.com/22869-small_default/demi-grenailles-au-romarin.jpg;0;;;;
